title,kicker,image_url,link,title_word_count,title_char_count,title_capital_words
"Wynn Resorts misses Q1 estimates as Macau, U.S. properties weigh on results",OPERATING REVENUE DROPS TO $1.70B FROM $1.86B,https://imagenesyogonet.b-cdn.net/data/imagenes/2019/04/10/24753/1625324702-wynn-vegas-02.jpg,https://www.yogonet.com/international/news/2025/05/07/104000-wynn-resorts-misses-q1-estimates-as-macau-us-properties-weigh-on-results,12,75,"['Wynn', 'Resorts', 'Macau', 'U', 'S']"
AGEM Index rebounds in April with 7.8% monthly gain following March slump,"STOCK RECOVERY LED BY KONAMI, ARISTOCRAT",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/05/07/75227/1746621551-agem-index-2025-abril.jpg,https://www.yogonet.com/international/news/2025/05/07/103994-agem-index-rebounds-in-april-with-78-monthly-gain-following-march-slump,12,73,"['AGEM', 'Index', 'April', 'March']"
Churchill Downs sets record $349M Kentucky Derby handle despite EBITDA dip,SOVEREIGNTY DEFEATS JOURNALISM,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/05/07/75225/1746618981-kentucky-derby-2025-1.jpg,https://www.yogonet.com/international/news/2025/05/07/103918-churchill-downs-sets-record-349m-kentucky-derby-handle-despite-ebitda-dip,11,74,"['Churchill', 'Downs', 'Kentucky', 'Derby', 'EBITDA']"
Rush Street Interactive Q1 LatAm users surge 61% despite Colombia tax drag,GLOBAL REVENUE RISES 21% TO $262.4M,https://imagenesyogonet.b-cdn.net/data/imagenes/2021/12/07/41232/1638904890-richard-schwartz-rush-street-interactive-02.jpg,https://www.yogonet.com/international/news/2025/05/07/103802-rush-street-interactive-q1-latam-users-surge-61-despite-colombia-tax-drag,12,74,"['Rush', 'Street', 'Interactive', 'LatAm', 'Colombia']"
“Play’n GO will never supply games to sweepstakes casinos”,CEO JOHAN TÖRNQVIST AND SENIOR EXECUTIVES,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/05/06/75189/1746537074-johan-tornqvist-play-n-go-02.jpg,https://www.yogonet.com/international/news/2025/05/07/103912-playn-go-will-never-supply-games-to-sweepstakes-casinos,9,58,"['Play', 'GO']"
"G2E Asia 2025 and Asian IR Expo set to open with 100 product launches, high-level keynotes","RECORD-BREAKING EDITION TO HOST OVER 10,000",https://imagenesyogonet.b-cdn.net/data/imagenes/2024/05/07/64108/1715104398-g2e-asia-2023-registracion-01.jpg,https://www.yogonet.com/international/news/2025/05/07/103915-g2e-asia-2025-and-asian-ir-expo-set-to-open-with-100-product-launches-highlevel-keynotes,16,90,"['Asia', 'Asian', 'IR', 'Expo']"
Peru reduces illegal online gambling offer by 40% one year after regulation of the industry,ACCORDING TO MINCETUR,https://imagenesyogonet.b-cdn.net/data/imagenes/2019/07/05/26491/1625331607-juego-online-peru-generica.jpg,https://www.yogonet.com/international/news/2025/05/07/103904-peru-reduces-illegal-online-gambling-offer-by-40-one-year-after-regulation-of-the-industry,15,91,['Peru']
New hotel proposal near Allegiant Stadium set for county review,"EIGHT-STORY, 220-ROOM HOTEL",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/05/06/75178/1746530872-allegiant-stadium-las-vegas-night.jpg,https://www.yogonet.com/international/news/2025/05/06/103784-new-hotel-proposal-near-allegiant-stadium-set-for-county-review,10,63,"['New', 'Allegiant', 'Stadium']"
Indian Supreme Court weighs taxation of betting on skill-based games,"1,400 GAMING SITES",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/05/07/75236/1746624503-supreme-court-india-02.jpg,https://www.yogonet.com/international/news/2025/05/07/104011-indian-supreme-court-weighs-taxation-of-betting-on-skillbased-games,10,68,"['Indian', 'Supreme', 'Court']"
G2E launches first national dealer championship,"LAS VEGAS, OCTOBER 7–8",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/05/07/75248/1746626618-g2e-dealer-championship.jpg,https://www.yogonet.com/international/news/2025/05/07/103996-g2e-launches-first-national-dealer-championship,6,47,[]
Illinois lottery bill eyes regulation of courier sales as Texas court blocks crackdown,SENATE BILL 2035,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/05/07/75240/1746624684-illinois-senate-general-assembly.jpg,https://www.yogonet.com/international/news/2025/05/07/103899-illinois-lottery-bill-eyes-regulation-of-courier-sales-as-texas-court-blocks-crackdown,13,86,"['Illinois', 'Texas']"
